Name,Tags,Created By,Last Edited,URL
Introduction to Statistics,Statistics,Thit Zaw,"Jan 06, 2020 11:41 PM",
Understanding Machine learning from theory to Algorithm,deep learning,Thit Zaw,"Jan 21, 2020 9:35 AM",
Algorithms Specialization,Algorithm,Thit Zaw,"Jan 05, 2020 11:53 PM",
Deep learning,deep learning,Thit Zaw,"Feb 29, 2020 10:44 AM",
Data Scientist Learning Path 2019,"Algorithm, deep learning, machine learning",Thit Zaw,"Jan 15, 2020 9:50 AM",
"(11) Which one is the best deep learning course, Fast.ai, Andrew Ng, Google ML crash course, or others? - Quora",,Thit Zaw,"Jan 25, 2020 10:51 PM",https://www.quora.com/Which-one-is-the-best-deep-learning-course-Fast-ai-Andrew-Ng-Google-ML-crash-course-or-others
Data Visualization,,Thit Zaw,"Feb 28, 2020 12:28 AM",
Computer Vision,,Thit Zaw,"Jan 26, 2020 5:46 PM",
What are the best books about deep learning? - Quora,,Thit Zaw,"Feb 12, 2020 4:56 PM",https://www.quora.com/What-are-the-best-books-about-deep-learning
List of 10 Free Must-Read Books for Machine Learning | FavouriteBlog.com,,Thit Zaw,"Feb 12, 2020 4:57 PM",https://favouriteblog.com/10-free-must-read-books-machine-learning/
Medium Article,,Thit Zaw,"Feb 27, 2020 6:47 PM",
Creating interactive crime maps with Folium – Data Science Blog by Domino,,Thit Zaw,"Feb 13, 2020 11:03 PM",https://blog.dominodatalab.com/creating-interactive-crime-maps-with-folium/
Deep Learning Book,,Thit Zaw,"Feb 18, 2020 1:38 PM",
,,Thit Zaw,"Feb 20, 2020 7:57 AM",
research paper,,Thit Zaw,"Feb 20, 2020 7:57 AM",
OpenAPI / Swagger Resource List for API Developers - Runscope - Medium,,Thit Zaw,"Feb 26, 2020 9:47 PM",https://medium.com/runscope/openapi-swagger-resource-list-for-api-developers-9f6d769d9c9d
